Month/Year,Victim of the Conflict,Municipality,Reason for consultation,Previous complaints,Scene of Violence,Type of Violence,Remission,Entity to which it refers
June-2017,No,Sabanalarga,he was attacked by his partner with hot water,Yes,VIF,Physical,Legal advice,Family commissary
June-2017,No,Barranquilla,consulate for aggravated intrafamilial trauma,Yes,VIF,Psychological - Physical,Psycho-Legal,None
June-2017,No,Barranquilla,moods,No,Does not apply,Psychological,None,None
June-2017,No,Malambo,ORIETATION,No,Does not apply,Does not apply,Social work,None
June-2017,No,Soledad,ORIETATION,Yes,VIF,Psychological - Physical,Psychological Orientation,None
June-2017,Yes,Barranquilla,Psychological orientation.,No,Does not apply,Does not apply,None,None
June-2017,no,Colombian Port,mistreatment of her partner's family with her.,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
July-2017,No,Barranquilla,OTHERS,No,Does not apply,Does not apply,Psychological Orientation,None
July-2017,Yes,Soledad,FOOD INASINTENCE,Yes,VIF,Psychological,Psycho-Legal,Family commissary
July-2017,no,Barranquilla,psychological orientation,Yes,VIF,All of the above,Psychological Orientation,None
July-2017,Yes,Barranquilla,legal advice to claim your daughter who is in the family welfare,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
July-2017,NO,Soledad,PSYCHOLOGICAL SUPPORT,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
July-2018,No,Soledad,PSYCHOLOGICAL,Yes,Others,Psychological,None,None
July-2017,no,Soledad,PSYCHOLOGICAL SUPPORT,No,VIF,Psychological - Sexual - Patrimonial,Psycho-Legal,None
July-2017,No,Malambo,HER EX PARTNER DOES NOT HELP HER WITH THINGS FOR HER DAUGHTER AND SENT HER A WELLNESS CITATION,Yes,Others,Does not apply,Legal advice,Ombudsman's Office
July-2017,No,Soledad,"HER EX-BOYFRIEND THREATENS AND HARASSES HER, PERSECUTES HER SAYS HE WILL HURT HER",Yes,Others,Psychological,Psycho-Legal,None
July-2017,Yes,Barranquilla,receives constant threats that he is going to deport her,Yes,VIF,Psychological - Physical,Psycho-Legal,None
July-2017,No,Barranquilla,his mother was a victim of feminicide,No,Others,Psychological,Legal advice,None
July-2017,No,Barranquilla,PSYCHOLOGICAL AND LEGAL SUPPORT,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Ombudsman's Office
July-2017,No,Soledad,legal support in process that he undertakes against his ex-partner,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Ombudsman's Office
July-2017,Yes,Barranquilla,Query,NO,Others,Psychological,Legal advice,Family commissary
July-2017,YES,Barranquilla,Query,No,Does not apply,Psychological,Legal advice,None
July-2017,No,Sabanalarga,he was attacked by his partner with hot water,Yes,Does not apply,Physical,Legal advice,Family commissary
July-2017,No,Barranquilla,needs representation in a purchasing prescription process,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
July-2017,no,Soledad,I need psychological and legal support,Yes,VIF,All of the above,Psycho-Legal,Family commissary
July-2017,No,Colombian Port,Query,No,VIF,Psychological,Psycho-Legal,Ombudsman's Office
July-2017,No,Colombian Port,PSYCHOSOCIAL ORIENTATION,No,VIF,Psychological,None,None
July-2017,No,Barranquilla,YOU NEED LEGAL ADVICE,No,Others,Does not apply,Legal advice,Family commissary
July-2017,No,Soledad,PSYCHO / LEGAL,Yes,VIF,Psychological - Physical - Sexual,Psychological Orientation,Ombudsman's Office
July-2017,No,Barranquilla,PSYCHO / LEGAL,No,Does not apply,Psychological,Psycho-Legal,Ombudsman's Office
July-2017,No,Barranquilla,PSYCHO / LEGAL,No,VIF,Psychological - Patrimonial,Psycho-Legal,None
July-2017,No,Soledad,Psychological Support,Yes,Others,Sexual,Psychological Orientation,None
July-2017,No,Soledad,legal advice,No,Others,Does not apply,Legal advice,None
July-2017,Yes,Soledad,Psychological Support,No,Does not apply,Does not apply,Psychological Orientation,None
July-2017,Yes,Barranquilla,Psychological Support,No,Does not apply,Does not apply,Psycho-Legal,Ombudsman's Office
July-2017,No,Barranquilla,legal support,No,Does not apply,Psychological - Physical,Legal advice,Ombudsman's Office
July-2017,no,Colombian Port,legal support,No,Does not apply,Does not apply,Legal advice,Family commissary
July-2017,Yes,Galapa,legal and psychological support,No,Does not apply,Psychological,Psycho-Legal,None
July-2017,No,Barranquilla,PSYCHOJURIDICAL ADVICE,No,Does not apply,Psychological - Physical,Psycho-Legal,Family commissary
July-2017,No,Soledad,LEGAL,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
July-2017,No,Barranquilla,PSYCHO / LEGAL SUPPORT,Yes,VIF,All of the above,Psycho-Legal,Family commissary
July-2017,No,Barranquilla,PSYCHO / LEGAL SUPPORT,Yes,VIF,All of the above,Psycho-Legal,Family commissary
July-2017,No,Barranquilla,LEGAL SUPPORT,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
July-2017,No,Barranquilla,LEGAL ADVICE,No,VIF,All of the above,Legal advice,Family commissary
July-2017,No,Louse,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Family commissary
July-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,All of the above,Legal advice,Family commissary
July-2017,No,Barranquilla,Query,No,VIF,Psychological - Sexual - Patrimonial,Legal advice,Family commissary
July-2017,No,Soledad,LEGAL ASESOPRIA,No,Others,Psychological,Legal advice,None
July-2017,No,Field of the Cross,LEGAL ADVICE,No,VIF,Psychological,Legal advice,None
July-2017,No,Soledad,Query,No,VIF,Psychological,Legal advice,Family commissary
July-2017,No,Soledad,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psychological Orientation,None
July-2017,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,None
July-2017,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,None
July-2017,No,Suan,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Family commissary
July-2017,No,Soledad,Query,No,Does not apply,Does not apply,None,None
July-2017,No,barranquilla,JUR ADVICE,Yes,Does not apply,Does not apply,Legal advice,None
July-2017,No,Barranquilla,PSYCHO / LEGAL ADVICE,No,VIF,Psychological,Psycho-Legal,Family commissary
July-2017,No,Barranquilla,Psychological Counseling,No,Does not apply,Does not apply,Psychological Orientation,None
July-2017,Yes,Barranquilla,legal advice,Yes,Does not apply,Does not apply,Legal advice,None
July-2017,Yes,Soledad,ASES. JURID.,No,Does not apply,Does not apply,Legal advice,None
July-2017,No,Barranquilla,Psychological Counseling,No,Others,Psychological,Legal advice,None
July-2017,Yes,Barranquilla,Psychological Counseling,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
July-2017,NO,Laying,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
July-2017,No,St Thomas,LEGAL ADVICE,Yes,Does not apply,Psychological,Psycho-Legal,Family commissary
July-2017,NO,Juan de Acosta,PSYCHOLOGY COUNSELING,No,Does not apply,Does not apply,None,None
July-2017,No,Soledad,LEGAL ADVICE,No,Others,Patrimonial,Legal advice,Family commissary
July-2017,No,Barranquilla,legal advice,No,Others,Psychological,Legal advice,None
August-2017,No,Soledad,legal advice,No,Does not apply,Does not apply,Legal advice,None
August-2017,No,Barranquilla,legal advice,Yes,VIF,Physical,Legal advice,None
August-2017,No,Barranquilla,KJURIDICA ADVICE,No,Others,Does not apply,Legal advice,Family commissary
August-2017,No,Barranquilla,legal advice,Yes,VIF,Does not apply,Psychological Orientation,Prosecutor's office
August-2017,No,Barranquilla,LEGAL ADVICE,No,Others,Psychological - Physical,Psychological Orientation,None
August-2017,No,Barranquilla,Psychological Counseling,No,VIF,Psychological,Psychological Orientation,None
August-2017,No,Barranquilla,Psychological Counseling,No,VIF,Psychological,None,None
August-2017,No,Barranquilla,Psychological Counseling,No,VIF,Psychological,Psychological Orientation,None
August-2017,No,Sabanalarga,LEGAL ADVICE,Yes,Others,Sexual,Legal advice,None
August-2017,No,Barranquilla,LEGAL ADVICE,No,VIF,Physical,Legal advice,None
August-2017,No,Barranquilla,psycho-legal advice,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
August-2017,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,None
August-2017,NO,Barranquilla,PSYCHOSOCIAL,no,Does not apply,Does not apply,Legal advice,None
August-2017,No,Polonuevo,PSYCHOSOCIAL,No,VIF,Psychological,Psychological Orientation,Family commissary
August-2017,NO,Barranquilla,LEGAL ADVICE,YES,VIF,Psychological,Psycho-Legal,Ombudsman's Office
August-2017,No,Malambo,PSYCHOLOGICAL VIOLENCE,No,VIF,Psychological - Patrimonial,Psychological Orientation,None
August-2017,No,Soledad,domestic violence,No,VIF,Psychological - Physical,Legal advice,Family commissary
August-2017,Yes,Colombian Port,ADVISORY,YES,Does not apply,Does not apply,Psycho-Legal,Family commissary
August-2017,NO,BARRANQUILLA,ADVISORY,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
August-2017,No,Soledad,psycho / legal advice,Yes,VIF,All of the above,Psycho-Legal,None
August-2017,NO,Malambo,Psychological Counseling,Yes,VIF,Psychological - Physical - Heritage,Psychological Orientation,Family commissary
August-2017,NO,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,None,None
August-2017,No,Big bed sheet,PSYCHOJURIDICAL ADVICE,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
August-2017,No,Soledad,Psychological Counseling,No,Does not apply,Does not apply,None,None
August-2017,No,Barranquilla,Psychological Counseling,No,Others,Does not apply,Psychological Orientation,None
August-2017,No,Colombian Port,Psychological Counseling,YES,Does not apply,Does not apply,Psychological Orientation,None
August-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
August-2017,No,Soledad,PSYCHOLOGICAL ADVICE,No,Others,Psychological,Psychological Orientation,None
August-2017,No,Soledad,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Sexual - Patrimonial,None,None
August-2017,No,Sabanalarga,PSYCHOSOCIAL COUNSELING,Yes,VIF,Psychological,Psychological Orientation,None
August-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Patrimonial,Legal advice,Ombudsman's Office
August-2017,No,Soledad,PSYCHOLOGICAL ADVICE,Yes,Others,Psychological,Psychological Orientation,None
August-2017,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
August-2017,No,Baranoa,advisory,No,Does not apply,Does not apply,Psychological Orientation,None
August-2017,no,barranquilla,psychological counseling,Yes,Others,Sexual,Psychological Orientation,None
August-2017,no,barranquilla,psychology counseling,No,Others,Does not apply,None,None
August-2017,Yes,Barranquilla,PsioJuridica,Yes,Others,Physical,Psycho-Social,Police Inspection
August-2017,Yes,Soledad,Legal and Psychological Advice,No,VIF,Psychological - Physical - Sexual,Psycho-Legal,None
August-2017,Yes,Barranquilla,legal advice,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
September-2017,No,Barranquilla,Legal and Psychological Advice,No,Others,Does not apply,Legal advice,None
September-2017,no,Barranquilla,PSYCHOSOCIAL COUNSELING,No,VIF,Psychological - Sexual,Psycho-Social,ICBF
September-2017,No,Galapa,psycho / legal advice,Yes,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
September-2017,NO,BARRANQUILLA,LEGAL ADVICE,Yes,Does not apply,Sexual,Psychological Orientation,ICBF
September-2017,No,Soledad,Legal advice,Yes,VIF,Psychological - Physical,Legal advice,None
September-2017,NO,BARRANQUILLA,JURI ADVICE,No,Does not apply,Psychological,Psychological Orientation,Family commissary
September-2017,Yes,Big bed sheet,ADVISORY,No,Others,Does not apply,None,None
September-2017,No,Barranquilla,PSYCHO / LEGAL ADVICE,No,Others,Sexual,Psycho-Legal,Prosecutor's office
September-2017,No,Soledad,PSYCHOSOCIAL COUNSELING,No,VIF,Psychological,Psycho-Social,None
September-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,None
September-2017,Yes,Barranquilla,Legal and Psychological Advice,No,Does not apply,Does not apply,Psycho-Legal,None
September-2017,No,Barranquilla,ADVISORY,YES,VIF,Psychological - Physical - Sexual,Psycho-Legal,Ombudsman's Office
September-2017,NO,Barranquilla,advisory,Yes,VIF,Sexual,Psychological Orientation,None
September-2017,No,Galapa,ADVISORY,Yes,VIF,All of the above,Psycho-Legal,None
September-2017,Yes,Barranquilla,ADVISORY,No,VIF,Psychological,Psycho-Legal,None
September-2017,No,Colombian Port,legal advice,No,VIF,Psychological - Physical,Legal advice,Prosecutor's office
September-2017,No,Barranquilla,Legal and Psychological Advice,No,VIF,Psychological,Psycho-Legal,None
September-2017,No,Barranquilla,PSYCHO / LEGAL ADVICE,No,Does not apply,Does not apply,Psychological Orientation,None
September-2017,No,Barranquilla,psychological and legal advice,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
September-2017,No,Barranquilla,legal advice,No,Does not apply,Does not apply,Legal advice,None
September-2017,No,Soledad,Query,No,VIF,All of the above,Psychological Orientation,None
September-2017,No,Malambo,PSYCHOSOCIAL,No,VIF,Psychological,Social work,Family commissary
September-2017,No,Barranquilla,PsyCOSOCIAL,Yes,VIF,Psychological - Physical,Legal advice,None
September-2017,No,Barranquilla,LEGAL ASE,No,Does not apply,Psychological - Patrimonial,Legal advice,None
September-2017,NO,BARRANQUILLA,LEGAL ASE,NO,Does not apply,Does not apply,Legal advice,Prosecutor's office
September-2017,No,Usiacurí,legal advice,Yes,VIF,Psychological,None,Police Inspection
September-2017,No,Field of the Cross,legal advice,No,Does not apply,Does not apply,None,None
September-2017,No,Field of the Cross,legal advice,No,VIF,Psychological,None,Family commissary
September-2017,No,Barranquilla,legal advice,Yes,VIF,Does not apply,Psycho-Legal,Ombudsman's Office
September-2017,No,Soledad,legal advice,No,VIF,Psychological - Physical,None,Family commissary
September-2017,No,Luruaco,legal advice,No,VIF,Psychological - Physical,None,Family commissary
September-2017,No,Barranquilla,legal advice,No,VIF,Psychological - Physical,None,Family commissary
September-2017,No,Barranquilla,Query,No,Does not apply,Does not apply,None,ICBF
September-2017,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Family commissary
September-2017,Yes,Barranquilla,PSYCHO / LEGAL ADVICE,No,VIF,Psychological,Psycho-Legal,None
September-2017,No,Soledad,psychological counseling,Yes,VIF,Psychological - Physical - Heritage,Psychological Orientation,None
September-2017,No,Soledad,psycho legal advice,Yes,VIF,Psychological,Psycho-Legal,Family commissary
September-2017,No,Barranquilla,legal advice,No,Does not apply,Does not apply,Legal advice,None
September-2017,No,Barranquilla,legal advice,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
September-2017,No,Barranquilla,legal advice,No,VIF,Psychological - Physical,Legal advice,Family commissary
September-2017,No,Barranquilla,PSYCHOLOGICAL AND LEGAL ADVICE,No,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
September-2017,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
September-2017,No,Malambo,LEGAL ADVICE,No,Does not apply,Does not apply,None,None
September-2017,No,Soledad,legal advice,No,Does not apply,Does not apply,Legal advice,None
September-2017,Yes,Barranquilla,legal advice,No,Does not apply,Does not apply,None,None
September-2017,No,Barranquilla,legal advice,Yes,VIF,Psychological - Physical - Heritage,Legal advice,None
September-2017,No,Barranquilla,legal advice,No,Others,Psychological - Physical,Psycho-Legal,None
September-2017,No,Palmar de Varela,legal advice,Yes,VIF,Psychological - Physical,Psycho-Legal,None
September-2017,no,Barranquilla,psychological counseling,No,Does not apply,Does not apply,None,None
October-2017,No,Barranquilla,ase.juridica,No,Does not apply,Does not apply,Legal advice,None
October-2017,No,Barranquilla,legal advice,Yes,VIF,Psychological - Physical - Heritage,none,Family commissary
October-2017,No,Barranquilla,PSYCHO / JURIDCA ADVICE,No,VIF,All of the above,Psycho-Legal,Prosecutor's office
October-2017,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,VIF,Physical,Psychological Orientation,None
October-2017,No,Barranquilla,legal advice,No,VIF,Psychological,Legal advice,Family commissary
October-2017,No,Luruaco,Ase.Juridica,Yes,Does not apply,Does not apply,Legal advice,Prosecutor's office
October-2017,No,Barranquilla,legal advice,Yes,VIF,Patrimonial,None,None
October-2017,No,Malambo,PSYCHOLOGY,Yes,Does not apply,Does not apply,Psychological Orientation,None
October-2017,No,Malambo,legal advice,Yes,Does not apply,Does not apply,Psycho-Legal,None
October-2017,No,Barranquilla,legal advice,Yes,Does not apply,Does not apply,Legal advice,Police Inspection
October-2017,No,Colombian Port,LEGAL ADVICE,Yes,Does not apply,Psychological - Physical,Legal advice,Family commissary
October-2017,No,GALAPA,LEGAL AND PSYCHOLOGICAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
October-2017,No,Soledad,PSYCHOSOCIAL,No,VIF,Psychological,Psycho-Social,Family commissary
October-2017,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,None,None
October-2017,No,Barranquilla,LEGAL ASE,No,Others,Does not apply,Legal advice,Prosecutor's office
October-2017,No,Barranquilla,LEGAL ASSESSMENT,No,Others,Does not apply,None,None
October-2017,No,Big bed sheet,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Family commissary
October-2017,No,Soledad,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
October-2017,No,Soledad,LEGAL ASE,Yes,VIF,Psychological,Legal advice,Prosecutor's office
October-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psychological Orientation,Ombudsman's Office
October-2017,NO,Barranquilla,Query,Yes,VIF,Psychological - Patrimonial,Psychological Orientation,Family commissary
October-2017,No,Barranquilla,legal advice,No,VIF,Psychological,Legal advice,Family commissary
October-2017,No,Malambo,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Family commissary
October-2017,No,Barranquilla,ase.psicolo,Yes,Others,Psychological,Psychological Orientation,None
October-2017,No,Barranquilla,LEGAL ADVICE,No,Others,Does not apply,None,None
October-2017,No,Soledad,PSYCHOLOGICAL ORIENTATION,Yes,VIF,Physical,Psychological Orientation,None
October-2017,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
October-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
October-2017,Yes,Barranquilla,legal advice,No,Others,Does not apply,Legal advice,Ombudsman's Office
October-2017,Yes,Soledad,legal advice,Yes,VIF,Psychological,None,Family commissary
October-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Physical,Psycho-Legal,Prosecutor's office
October-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological,Legal advice,Family commissary
October-2017,No,Malambo,LEGAL ADVICE,Yes,Does not apply,Does not apply,Psycho-Legal,Family commissary
October-2017,No,Barranquilla,PSYCHO / LEGAL ADVICE,Yes,VIF,All of the above,Psycho-Legal,Family commissary
October-2017,No,Malambo,legal advice,No,Does not apply,Psychological,None,None
October-2017,No,Soledad,Psychological counseling,Yes,Does not apply,Does not apply,None,None
October-2017,No,Barranquilla,psycho-legal advice,Yes,VIF,Psychological - Physical - Heritage,None,None
October-2017,No,Soledad,PSYCHOLOGICAL ASE,No,Does not apply,Does not apply,Psychological Orientation,None
October-2017,NO,Soledad,PSYCHOLOGICAL ADVICE,NO,Does not apply,Does not apply,Psychological Orientation,None
October-2017,No,Malambo,ase.psychological,Yes,Does not apply,Does not apply,Psychological Orientation,None
October-2017,No,Soledad,PSYCHOLOGICAL ASE,No,Does not apply,Does not apply,None,None
October-2017,No,Soledad,legal advice,Yes,VIF,Psychological - Physical,Legal advice,None
October-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Physical,Legal advice,None
October-2017,No,Barranquilla,legal advice,Yes,Does not apply,Psychological - Physical,Legal advice,Family commissary
October-2017,No,Barranquilla,ase.psico-legal,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
October-2017,No,Soledad,ASES. LEGAL,No,VIF,Physical,Legal advice,None
October-2017,No,sea ​​cow,ASE. LEGAL,NO,Does not apply,Does not apply,None,None
October-2017,No,Barranquilla,legal advice,No,VIF,Psychological - Physical,Legal advice,Family commissary
October-2017,No,Barranquilla,legal advice,No,Others,Physical,Legal advice,Family commissary
October-2017,No,Barranquilla,legal advice,No,VIF,Physical,Legal advice,Prosecutor's office
October-2017,No,Barranquilla,psycho-legal advice,No,Others,Psychological - Patrimonial,None,Family commissary
October-2017,No,Barranquilla,legal advice,Yes,Does not apply,Does not apply,None,Police Inspection
October-2017,no,Barranquilla,PSYCHOSOCIAL COUNSELING,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
October-2017,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Psychological Orientation,None
October-2017,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,None,None
October-2017,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,None,Ombudsman's Office
October-2017,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,None,Ombudsman's Office
October-2017,No,Repelón,LEGAL ADVICE,Yes,VIF,Psychological - Physical,None,Family commissary
October-2017,No,Juan de Acosta,LEGAL ADVICE,No,Others,Physical,Legal advice,Police Inspection
October-2017,No,Malambo,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Family commissary
October-2017,No,Barranquilla,psycho-legal advice,Yes,VIF,Psychological,None,None
October-2017,No,Malambo,legal advice,No,Does not apply,Does not apply,None,None
October-2017,Yes,Barranquilla,legal advice,Yes,VIF,All of the above,Psychological Orientation,Family commissary
October-2017,No,Soledad,psychological counseling,No,VIF,Psychological,Psychological Orientation,None
October-2017,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Psychological Orientation,Prosecutor's office
October-2017,No,Barranquilla,legal advice,Yes,VIF,Psychological - Patrimonial,Legal advice,None
October-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
October-2017,No,Barranquilla,legal advice,No,Does not apply,Does not apply,None,None
October-2017,no,Soledad,legal advice,No,Others,Psychological - Physical,Legal advice,None
November-2017,No,Barranquilla,legal advice,Yes,Others,Physical,Psycho-Legal,None
November-2017,No,Barranquilla,LEGAL ADVICE,Yes,VIF,All of the above,Legal advice,Family commissary
November-2017,No,Soledad,legal advice,No,Others,Psychological,Legal advice,Prosecutor's office
November-2017,No,Malambo,legal advice,No,Others,Psychological,Legal advice,Prosecutor's office
November-2017,no,Soledad,legal advice,Yes,VIF,Psychological - Physical,Legal advice,None
November-2017,no,Soledad,legal advice,No,VIF,Psychological - Physical,Legal advice,None
November-2017,No,Barranquilla,legal advice,Yes,Others,Psychological - Physical,None,None
November-2017,No,Barranquilla,legal advice,Yes,Does not apply,Does not apply,None,None
November-2017,No,Barranquilla,legal advice,Yes,Others,Physical,Psychological Orientation,None
November-2017,No,Soledad,legal advice,Yes,VIF,Psychological - Physical,Psychological Orientation,Family commissary
November-2017,No,St Thomas,psychological and legal advice,Yes,VIF,Psychological,Legal advice,Family commissary
November-2017,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Family commissary
November-2017,No,Galapa,PSYCHO / LEGAL,No,VIF,Psychological - Physical,Psycho-Legal,Police Inspection
November-2017,No,Barranquilla,PSYCHOLOGICAL,Yes,VIF,Psychological - Physical,Psycho-Legal,None
November-2017,No,Barranquilla,psychology,Yes,VIF,Does not apply,Psycho-Social,None
November-2017,No,Soledad,Psychology,No,Does not apply,Does not apply,None,None
November-2017,No,Soledad,Query,Yes,Does not apply,Does not apply,None,None
November-2017,NO,Soledad,PSYCHOLOGICAL,No,VIF,Does not apply,Psychological Orientation,None
November-2017,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,None
