,Year,Census Tract,Age Group,Men (rate per hundred thousand inhabitants),Women (rate per hundred thousand inhabitants)
68,2008,Boyacá,Adults or of legal age (> 18 years),2.0212841218025814,14.843582705522786
69,2008,Caldas,"Boys, girls and adolescents or minors (<18 years)",59.37103806549367,228.4486966708972
70,2008,Caldas,Adults or of legal age (> 18 years),1.2675074466062488,11.933417352353066
71,2008,Caquetá,"Boys, girls and adolescents or minors (<18 years)",25.24163607871184,144.39327477383858
72,2008,Caquetá,Adults or of legal age (> 18 years),0.7963749014486059,12.859875580703756
73,2008,Cauca,"Boys, girls and adolescents or minors (<18 years)",8.653819677999238,87.28626188348932
74,2008,Cauca,Adults or of legal age (> 18 years),0.4961154162904458,11.321637662308255
75,2008,Cesar,"Boys, girls and adolescents or minors (<18 years)",18.680103232149442,145.35258310095819
76,2008,Cesar,Adults or of legal age (> 18 years),0.37514443060578323,20.91914390206955
77,2008,Córdoba,"Boys, girls and adolescents or minors (<18 years)",14.590020426028595,110.827736310104
78,2008,Córdoba,Adults or of legal age (> 18 years),0.878121171940516,6.020883865751492
79,2008,Cundinamarca,"Boys, girls and adolescents or minors (<18 years)",48.16546902845662,190.3257859038915
80,2008,Cundinamarca,Adults or of legal age (> 18 years),1.3131855649389959,19.020799052279113
81,2008,Chocó,"Boys, girls and adolescents or minors (<18 years)",7.832148358294679,104.91579834645529
82,2008,Chocó,Adults or of legal age (> 18 years),4.268433228899,24.290317879293315
83,2008,Huila,"Boys, girls and adolescents or minors (<18 years)",49.04804350184166,193.3246427429471
84,2008,Huila,Adults or of legal age (> 18 years),1.8900316580302718,17.099544219421354
85,2008,La Guajira,"Boys, girls and adolescents or minors (<18 years)",11.137032391179469,65.57297422010662
86,2008,La Guajira,Adults or of legal age (> 18 years),0.0,10.411668311408473
87,2008,Magdalena,"Boys, girls and adolescents or minors (<18 years)",16.942407634327683,121.13044053446222
88,2008,Magdalena,Adults or of legal age (> 18 years),0.2929759027320003,10.49195616693868
89,2008,Antioquia,"Boys, girls and adolescents or minors (<18 years)",37.07886674957635,169.9335161342433
90,2008,Antioquia,Adults or of legal age (> 18 years),1.16362466968927,17.82980795992207
91,2008,Meta,"Boys, girls and adolescents or minors (<18 years)",57.48796543141244,219.41746301014558
92,2008,Meta,Adults or of legal age (> 18 years),2.669514148424987,14.485295519088188
93,2008,Nariño,"Boys, girls and adolescents or minors (<18 years)",13.403642521584766,116.30420238989699
94,2008,Nariño,Adults or of legal age (> 18 years),0.604858221232943,14.418386009820304
95,2008,Norte de Santander,"Boys, girls and adolescents or minors (<18 years)",30.71042093480905,138.1080886433634
96,2008,Norte de Santander,Adults or of legal age (> 18 years),1.0376377139803523,17.69811441339354
97,2008,Quindio,"Boys, girls and adolescents or minors (<18 years)",62.337893647100735,340.7826409495549
98,2008,Quindio,Adults or of legal age (> 18 years),0.5653166904099677,15.74125573244063
99,2008,Risaralda,"Boys, girls and adolescents or minors (<18 years)",55.4195723456334,233.9375566675664
100,2008,Risaralda,Adults or of legal age (> 18 years),1.6989062441600098,20.073499891911922
101,2008,Santander,"Boys, girls and adolescents or minors (<18 years)",48.0997676635465,228.05087005698206
102,2008,Santander,Adults or of legal age (> 18 years),1.4080805046560527,21.290153964520325
103,2008,Sucre,"Boys, girls and adolescents or minors (<18 years)",20.534903112593497,156.34505812242014
104,2008,Sucre,Adults or of legal age (> 18 years),0.8261322141995605,11.285124951411268
105,2008,Tolima,"Boys, girls and adolescents or minors (<18 years)",35.27842821033697,162.65801359061373
106,2008,Tolima,Adults or of legal age (> 18 years),3.210434830466109,16.03972429747137
107,2008,Valle del Cauca,"Boys, girls and adolescents or minors (<18 years)",34.23431834803853,161.50052158905874
108,2008,Valle del Cauca,Adults or of legal age (> 18 years),1.596773936004204,14.685802158094944
109,2008,Atlántico,"Boys, girls and adolescents or minors (<18 years)",26.151018395373512,121.15958074607146
110,2008,Atlántico,Adults or of legal age (> 18 years),0.42254116255158525,10.254077639143233
111,2008,Arauca,"Boys, girls and adolescents or minors (<18 years)",30.543677458766037,177.61332099907492
112,2008,Arauca,Adults or of legal age (> 18 years),4.520114509567576,18.357606168155673
113,2008,Casanare,"Boys, girls and adolescents or minors (<18 years)",29.176008107859097,206.61157024793388
114,2008,Casanare,Adults or of legal age (> 18 years),2.114053168437186,17.530788447210412
115,2008,Putumayo,"Boys, girls and adolescents or minors (<18 years)",2.771234585007621,83.25677537896188
116,2008,Putumayo,Adults or of legal age (> 18 years),1.1041427435738893,9.19667080516853
117,2008,"Archipiélago de San Andrés, Providencia y Santa Catalina","Boys, girls and adolescents or minors (<18 years)",24.215029461619178,354.10167776747323
118,2008,"Archipiélago de San Andrés, Providencia y Santa Catalina",Adults or of legal age (> 18 years),4.256587068488486,36.84900098264002
119,2008,Amazonas,"Boys, girls and adolescents or minors (<18 years)",79.6495420151334,515.3431717029749
120,2008,Amazonas,Adults or of legal age (> 18 years),16.464518961637673,22.937095016916107
121,2008,Guaviare,"Boys, girls and adolescents or minors (<18 years)",21.272069772388853,99.83505512631305
122,2008,Guaviare,Adults or of legal age (> 18 years),0.0,16.422383708995362
123,2008,Vaupés,Adults or of legal age (> 18 years),0.0,10.023053021950487
124,2008,Vichada,"Boys, girls and adolescents or minors (<18 years)",20.00133342222815,173.98566358132092
125,2008,Vichada,Adults or of legal age (> 18 years),0.0,6.601531555320834
126,2008,Sin información,"Boys, girls and adolescents or minors (<18 years)",0.0,0.0
127,2008,Sin información,Adults or of legal age (> 18 years),0.0,0.0
128,2009,Bogotá D.C.,"Boys, girls and adolescents or minors (<18 years)",57.09104342277597,270.7962090373512
129,2009,Bogotá D.C.,Adults or of legal age (> 18 years),2.0299184607128313,24.420060893326152
130,2009,Bolívar,"Boys, girls and adolescents or minors (<18 years)",26.7348843060987,139.79994901413625
131,2009,Bolívar,Adults or of legal age (> 18 years),1.3392954301565805,13.500962146880708
132,2009,Boyacá,"Boys, girls and adolescents or minors (<18 years)",33.1532152160341,197.17744144012562
133,2009,Boyacá,Adults or of legal age (> 18 years),2.9996700362960076,19.317978759882354
134,2009,Caldas,"Boys, girls and adolescents or minors (<18 years)",90.05037783375315,266.9563662137903
135,2009,Caldas,Adults or of legal age (> 18 years),0.9394228812099767,18.71489158319345
136,2009,Caquetá,"Boys, girls and adolescents or minors (<18 years)",22.063458709812988,125.61441835062807
137,2009,Caquetá,Adults or of legal age (> 18 years),2.3429446127893536,12.569031477568206
138,2009,Cauca,"Boys, girls and adolescents or minors (<18 years)",10.69298461002289,92.86051852650256
139,2009,Cauca,Adults or of legal age (> 18 years),0.9750508854680853,12.616766941101965
140,2009,Cesar,"Boys, girls and adolescents or minors (<18 years)",27.09773413674009,164.52712634548635
141,2009,Cesar,Adults or of legal age (> 18 years),0.3658688287075318,18.330125561360095
142,2009,Córdoba,"Boys, girls and adolescents or minors (<18 years)",10.455412418495309,92.9244214705373
143,2009,Córdoba,Adults or of legal age (> 18 years),0.42838110496622217,7.351566618846476
144,2009,Cundinamarca,"Boys, girls and adolescents or minors (<18 years)",42.902503487262315,232.78999651655838
145,2009,Cundinamarca,Adults or of legal age (> 18 years),1.408302841443024,20.772642802590237
146,2009,Chocó,"Boys, girls and adolescents or minors (<18 years)",9.638047506812347,109.1299367767887
147,2009,Chocó,Adults or of legal age (> 18 years),2.4908875032173965,19.02481946239031
148,2009,Huila,"Boys, girls and adolescents or minors (<18 years)",24.07818327746565,190.58312526777667
149,2009,Huila,Adults or of legal age (> 18 years),0.615640342911671,15.496432781943922
150,2009,La Guajira,"Boys, girls and adolescents or minors (<18 years)",14.83307090207891,79.17328905931498
151,2009,La Guajira,Adults or of legal age (> 18 years),0.46237215409939153,9.11957059850439
152,2009,Magdalena,"Boys, girls and adolescents or minors (<18 years)",16.519109069384193,115.96092818263227
153,2009,Magdalena,Adults or of legal age (> 18 years),0.8659908089508809,14.38153640829757
154,2009,Antioquia,"Boys, girls and adolescents or minors (<18 years)",45.52073912789515,225.32852941765702
155,2009,Antioquia,Adults or of legal age (> 18 years),0.98294588882882,21.236945663690026
156,2009,Meta,"Boys, girls and adolescents or minors (<18 years)",84.70056780751011,315.75931978280965
157,2009,Meta,Adults or of legal age (> 18 years),2.9675902054685266,27.346232871650088
158,2009,Nariño,"Boys, girls and adolescents or minors (<18 years)",20.28762618412657,132.32410492684465
159,2009,Nariño,Adults or of legal age (> 18 years),1.3820308350822603,16.096282922231683
160,2009,Norte de Santander,"Boys, girls and adolescents or minors (<18 years)",49.504950495049506,192.12459194776932
161,2009,Norte de Santander,Adults or of legal age (> 18 years),1.0205513528683872,19.84602389751707
162,2009,Quindio,"Boys, girls and adolescents or minors (<18 years)",79.7959023118334,369.97143258558515
163,2009,Quindio,Adults or of legal age (> 18 years),1.67369619066747,33.16749585406302
164,2009,Risaralda,"Boys, girls and adolescents or minors (<18 years)",55.98730954317021,259.9308248611257
165,2009,Risaralda,Adults or of legal age (> 18 years),2.0111417251573718,16.760423459717085
166,2009,Santander,"Boys, girls and adolescents or minors (<18 years)",55.551123285080685,275.2322077599329
167,2009,Santander,Adults or of legal age (> 18 years),1.6943878792733231,20.855661443095904
168,2009,Sucre,"Boys, girls and adolescents or minors (<18 years)",18.1672388302804,174.98618530116045
169,2009,Sucre,Adults or of legal age (> 18 years),1.6181949844046457,9.429823662297515
170,2009,Tolima,"Boys, girls and adolescents or minors (<18 years)",31.80212014134276,150.29934619784402
171,2009,Tolima,Adults or of legal age (> 18 years),0.9069163709741416,16.516861706995336
172,2009,Valle del Cauca,"Boys, girls and adolescents or minors (<18 years)",36.800260169281195,202.91404215788586
173,2009,Valle del Cauca,Adults or of legal age (> 18 years),1.993536669327089,16.208784520546715
174,2009,Atlántico,"Boys, girls and adolescents or minors (<18 years)",28.434813190760185,135.60863192054745
175,2009,Atlántico,Adults or of legal age (> 18 years),0.8267810931699614,13.539669296801156
176,2009,Arauca,"Boys, girls and adolescents or minors (<18 years)",42.78303652601743,178.01104769594977
177,2009,Arauca,Adults or of legal age (> 18 years),5.936215365893474,24.04713237946375
178,2009,Casanare,"Boys, girls and adolescents or minors (<18 years)",62.817919960777104,366.1539445492629
179,2009,Casanare,Adults or of legal age (> 18 years),3.0779964295241418,20.16150426044419
180,2009,Putumayo,"Boys, girls and adolescents or minors (<18 years)",20.813675972692455,71.89382719599695
181,2009,Putumayo,Adults or of legal age (> 18 years),2.1697386549790076,16.874978906276365
182,2009,"Archipiélago de San Andrés, Providencia y Santa Catalina","Boys, girls and adolescents or minors (<18 years)",40.69010416666667,331.77371331348365
183,2009,"Archipiélago de San Andrés, Providencia y Santa Catalina",Adults or of legal age (> 18 years),0.0,28.218979279206643
184,2009,Amazonas,"Boys, girls and adolescents or minors (<18 years)",98.09578765147143,486.44480037966423
185,2009,Amazonas,Adults or of legal age (> 18 years),21.23254949838102,55.12375282509234
186,2009,Guainía,"Boys, girls and adolescents or minors (<18 years)",10.9217999126256,11.51808339092375
187,2009,Guaviare,"Boys, girls and adolescents or minors (<18 years)",41.946308724832214,111.32519803040033
188,2009,Guaviare,Adults or of legal age (> 18 years),0.0,24.157506945283245
189,2009,Vaupés,"Boys, girls and adolescents or minors (<18 years)",9.900990099009901,31.289111389236545
190,2009,Vichada,"Boys, girls and adolescents or minors (<18 years)",38.61749372465727,228.72519340733265
191,2009,Vichada,Adults or of legal age (> 18 years),0.0,6.461200491051237
192,2009,Sin información,"Boys, girls and adolescents or minors (<18 years)",0.0,0.0
193,2009,Sin información,Adults or of legal age (> 18 years),0.0,0.0
194,2010,Bogotá D.C.,"Boys, girls and adolescents or minors (<18 years)",62.82841118451908,245.54675446431867
195,2010,Bogotá D.C.,Adults or of legal age (> 18 years),1.819195907139972,19.330993843737474
196,2010,Bolívar,"Boys, girls and adolescents or minors (<18 years)",18.659854505697826,128.50117655457595
197,2010,Bolívar,Adults or of legal age (> 18 years),2.133277321128799,15.177512996744023
198,2010,Boyacá,"Boys, girls and adolescents or minors (<18 years)",36.63850445114212,173.72902891941467
199,2010,Boyacá,Adults or of legal age (> 18 years),2.7196285481881093,23.71319962921179
200,2010,Caldas,"Boys, girls and adolescents or minors (<18 years)",51.21376626037079,216.055407106271
201,2010,Caldas,Adults or of legal age (> 18 years),0.6195844447129311,14.53969050415664
202,2010,Caquetá,"Boys, girls and adolescents or minors (<18 years)",14.695385648906244,85.06461639129724
203,2010,Caquetá,Adults or of legal age (> 18 years),1.5316867700555237,10.750293713381813
204,2010,Cauca,"Boys, girls and adolescents or minors (<18 years)",13.561485381516494,97.68437926586432
205,2010,Cauca,Adults or of legal age (> 18 years),0.9577878930821375,8.9973105336621
206,2010,Cesar,"Boys, girls and adolescents or minors (<18 years)",17.782080602219796,170.44926293606602
207,2010,Cesar,Adults or of legal age (> 18 years),0.7139567841958526,21.70437946145578
208,2010,Córdoba,"Boys, girls and adolescents or minors (<18 years)",7.914773716619441,85.09535000448746
209,2010,Córdoba,Adults or of legal age (> 18 years),0.8358565753702323,5.9483640973152365
210,2010,Cundinamarca,"Boys, girls and adolescents or minors (<18 years)",61.47747813879229,271.8416732564037
211,2010,Cundinamarca,Adults or of legal age (> 18 years),1.7487037733280206,21.83247216359799
212,2010,Chocó,"Boys, girls and adolescents or minors (<18 years)",7.933219917670806,99.74519636202065
213,2010,Chocó,Adults or of legal age (> 18 years),1.6174424999191277,17.86144180664601
214,2010,Huila,"Boys, girls and adolescents or minors (<18 years)",23.66807886203877,151.6041896089402
215,2010,Huila,Adults or of legal age (> 18 years),1.2026892130804478,16.03111223262925
216,2010,La Guajira,"Boys, girls and adolescents or minors (<18 years)",15.543983923079486,89.1204102988696
217,2010,La Guajira,Adults or of legal age (> 18 years),0.888347983672164,12.523638367418501
218,2010,Magdalena,"Boys, girls and adolescents or minors (<18 years)",14.532314762082441,118.69240533456421
219,2010,Magdalena,Adults or of legal age (> 18 years),0.5685242248172194,16.45558127922284
220,2010,Antioquia,"Boys, girls and adolescents or minors (<18 years)",41.38762904541306,197.6391395438298
221,2010,Antioquia,Adults or of legal age (> 18 years),1.1137249899131954,18.945772012416196
222,2010,Meta,"Boys, girls and adolescents or minors (<18 years)",77.2595297137659,298.3258805790499
223,2010,Meta,Adults or of legal age (> 18 years),3.6106557673004573,25.09536237703273
224,2010,Nariño,"Boys, girls and adolescents or minors (<18 years)",17.695751053552584,99.01329313416471
225,2010,Nariño,Adults or of legal age (> 18 years),1.1600008506672905,11.232083399171112
226,2010,Norte de Santander,"Boys, girls and adolescents or minors (<18 years)",43.22895850835624,163.4775037027868
227,2010,Norte de Santander,Adults or of legal age (> 18 years),1.254116637863788,13.816925734024181
228,2010,Quindio,"Boys, girls and adolescents or minors (<18 years)",64.70140867452922,318.23774370622755
229,2010,Quindio,Adults or of legal age (> 18 years),3.853458478984889,17.40180774073354
230,2010,Risaralda,"Boys, girls and adolescents or minors (<18 years)",55.928034769717996,269.5893349894493
231,2010,Risaralda,Adults or of legal age (> 18 years),0.9917552083677692,21.6527677951167
232,2010,Santander,"Boys, girls and adolescents or minors (<18 years)",42.54834630758259,250.065350831609
233,2010,Santander,Adults or of legal age (> 18 years),1.5169120524730217,19.43123628383321
234,2010,Sucre,"Boys, girls and adolescents or minors (<18 years)",19.563049816359758,182.0227693936987
235,2010,Sucre,Adults or of legal age (> 18 years),0.39619651347068147,9.247272054743851
236,2010,Tolima,"Boys, girls and adolescents or minors (<18 years)",35.77703750228575,176.04370274366434
237,2010,Tolima,Adults or of legal age (> 18 years),1.1214106448784054,12.573816020806358
238,2010,Valle del Cauca,"Boys, girls and adolescents or minors (<18 years)",37.11135564329946,188.76049773952553
239,2010,Valle del Cauca,Adults or of legal age (> 18 years),0.7683774940834932,15.785855747466558
240,2010,Atlántico,"Boys, girls and adolescents or minors (<18 years)",27.478017585931255,137.81849278348898
241,2010,Atlántico,Adults or of legal age (> 18 years),0.6744525468677075,11.639514126195106
242,2010,Arauca,"Boys, girls and adolescents or minors (<18 years)",61.95128858680261,258.7463556851312
243,2010,Arauca,Adults or of legal age (> 18 years),7.307697928998407,36.90363722248465
244,2010,Casanare,"Boys, girls and adolescents or minors (<18 years)",55.03745604647607,320.753211521583
245,2010,Casanare,Adults or of legal age (> 18 years),0.9967307232278128,29.82986689707667
246,2010,Putumayo,"Boys, girls and adolescents or minors (<18 years)",18.08620161941067,164.38119133105508
247,2010,Putumayo,Adults or of legal age (> 18 years),3.1937317691144846,18.69569998900253
248,2010,"Archipiélago de San Andrés, Providencia y Santa Catalina","Boys, girls and adolescents or minors (<18 years)",49.281314168377826,257.48862758561495
249,2010,"Archipiélago de San Andrés, Providencia y Santa Catalina",Adults or of legal age (> 18 years),0.0,39.68883949833307
250,2010,Amazonas,"Boys, girls and adolescents or minors (<18 years)",52.014101600878455,380.4541671620497
251,2010,Amazonas,Adults or of legal age (> 18 years),10.375058359703273,64.46414182111201
252,2010,Guainía,"Boys, girls and adolescents or minors (<18 years)",0.0,11.496895838123708
253,2010,Guaviare,"Boys, girls and adolescents or minors (<18 years)",29.210482390252043,162.06764191581013
254,2010,Guaviare,Adults or of legal age (> 18 years),0.0,15.620728706994182
255,2010,Vichada,"Boys, girls and adolescents or minors (<18 years)",19.081541788576516,166.02470447602602
256,2010,Vichada,Adults or of legal age (> 18 years),0.0,18.612731108077927
257,2010,Sin información,"Boys, girls and adolescents or minors (<18 years)",0.0,0.0
258,2011,Bogotá D.C.,"Boys, girls and adolescents or minors (<18 years)",68.85911000708087,277.7341331090511
259,2011,Bogotá D.C.,Adults or of legal age (> 18 years),1.1322376777158238,20.11159059696947
260,2011,Bolívar,"Boys, girls and adolescents or minors (<18 years)",25.550319642400886,175.70874694090796
261,2011,Bolívar,Adults or of legal age (> 18 years),1.126115256287745,17.879211809062564
262,2011,Boyacá,"Boys, girls and adolescents or minors (<18 years)",26.526723463329013,206.03205671500618
263,2011,Boyacá,Adults or of legal age (> 18 years),1.4680874490757168,19.004000342072004
264,2011,Caldas,"Boys, girls and adolescents or minors (<18 years)",62.27457899789824,263.2458347825494
265,2011,Caldas,Adults or of legal age (> 18 years),2.1489795417147626,12.438373513048983
266,2011,Caquetá,"Boys, girls and adolescents or minors (<18 years)",19.915725037210958,106.68873018637869
267,2011,Caquetá,Adults or of legal age (> 18 years),0.0,6.756249530816005
268,2011,Cauca,"Boys, girls and adolescents or minors (<18 years)",13.661531538047365,124.04704536757873
269,2011,Cauca,Adults or of legal age (> 18 years),1.1755246366453347,14.567964329981109
270,2011,Cesar,"Boys, girls and adolescents or minors (<18 years)",25.740917663714715,206.43412216347102
271,2011,Cesar,Adults or of legal age (> 18 years),0.6971701862141567,19.536184044326927
272,2011,Córdoba,"Boys, girls and adolescents or minors (<18 years)",15.48290876459027,126.94435329641009
273,2011,Córdoba,Adults or of legal age (> 18 years),0.4080217067547994,6.010048801596269
274,2011,Cundinamarca,"Boys, girls and adolescents or minors (<18 years)",61.17483171193299,293.35994281520004
275,2011,Cundinamarca,Adults or of legal age (> 18 years),1.7077940058870098,25.826446280991735
276,2011,Chocó,"Boys, girls and adolescents or minors (<18 years)",8.84595651327778,79.12255811415476
277,2011,Chocó,Adults or of legal age (> 18 years),0.0,25.916214403317277
278,2011,Huila,"Boys, girls and adolescents or minors (<18 years)",35.63436292885956,184.41038250282563
279,2011,Huila,Adults or of legal age (> 18 years),2.349210078111235,18.558847495570525
280,2011,La Guajira,"Boys, girls and adolescents or minors (<18 years)",8.096641513100368,88.34268013799351
281,2011,La Guajira,Adults or of legal age (> 18 years),0.0,7.2379558404272
282,2011,Magdalena,"Boys, girls and adolescents or minors (<18 years)",20.42652148123706,136.03030590330306
283,2011,Magdalena,Adults or of legal age (> 18 years),0.8389848283576872,13.135095858252754
284,2011,Antioquia,"Boys, girls and adolescents or minors (<18 years)",47.160750059205036,219.12250959658684
285,2011,Antioquia,Adults or of legal age (> 18 years),1.8337893025653227,18.56893866030329
286,2011,Meta,"Boys, girls and adolescents or minors (<18 years)",97.04597011973124,367.56909592139675
287,2011,Meta,Adults or of legal age (> 18 years),2.110884777354428,20.545679313286787
288,2011,Nariño,"Boys, girls and adolescents or minors (<18 years)",18.37764752984727,116.14242693133892
289,2011,Nariño,Adults or of legal age (> 18 years),0.5680634716252296,12.141566934590577
290,2011,Norte de Santander,"Boys, girls and adolescents or minors (<18 years)",37.73770653190477,175.81852098029546
291,2011,Norte de Santander,Adults or of legal age (> 18 years),0.7396522648152348,14.530591582568913
292,2011,Quindio,"Boys, girls and adolescents or minors (<18 years)",76.79787258430572,404.1321918790951
293,2011,Quindio,Adults or of legal age (> 18 years),1.0867025640747,16.68065145526047
294,2011,Risaralda,"Boys, girls and adolescents or minors (<18 years)",61.99670259296099,282.2764598540146
295,2011,Risaralda,Adults or of legal age (> 18 years),0.6522752993128279,22.86026440716209
296,2011,Santander,"Boys, girls and adolescents or minors (<18 years)",58.61522295044128,304.5899210748129
297,2011,Santander,Adults or of legal age (> 18 years),2.392019028511372,21.008432982393806
298,2011,Sucre,"Boys, girls and adolescents or minors (<18 years)",33.03454015284828,213.7548943877687
299,2011,Sucre,Adults or of legal age (> 18 years),1.9415138371691176,15.77442571231391
300,2011,Tolima,"Boys, girls and adolescents or minors (<18 years)",36.219344349379845,163.96032501718594
301,2011,Tolima,Adults or of legal age (> 18 years),1.9975762741207337,15.044446527894367
302,2011,Valle del Cauca,"Boys, girls and adolescents or minors (<18 years)",43.778394347658434,195.2386569516153
